city_name,date,rain_sum (mm)
Anuradhapura,10/18/2011,7.1
Anuradhapura,10/19/2011,4.0
Anuradhapura,10/20/2011,8.3
Anuradhapura,10/21/2011,11.8
Anuradhapura,10/22/2011,10.5
Anuradhapura,10/23/2011,13.2
Anuradhapura,10/24/2011,13.8
Anuradhapura,10/25/2011,14.9
Anuradhapura,10/26/2011,11.2
Anuradhapura,10/27/2011,5.0
Anuradhapura,10/28/2011,11.6
Anuradhapura,10/29/2011,28.1
Anuradhapura,10/30/2011,5.1
Anuradhapura,10/31/2011,5.6
Anuradhapura,11/1/2011,9.1
Anuradhapura,11/2/2011,6.3
Anuradhapura,11/3/2011,7.5
Anuradhapura,11/4/2011,4.5
Anuradhapura,11/5/2011,2.5
Anuradhapura,11/6/2011,5.6
Anuradhapura,11/7/2011,5.3
Anuradhapura,11/8/2011,0.3
Anuradhapura,11/9/2011,0.0
Anuradhapura,11/10/2011,0.0
Anuradhapura,11/11/2011,0.0
Anuradhapura,11/12/2011,0.6
Anuradhapura,11/13/2011,0.5
Anuradhapura,11/14/2011,0.1
Anuradhapura,11/15/2011,0.5
Anuradhapura,11/16/2011,8.8
Anuradhapura,11/17/2011,5.6
Anuradhapura,11/18/2011,5.7
Anuradhapura,11/19/2011,1.7
Anuradhapura,11/20/2011,6.0
Anuradhapura,11/21/2011,7.7
Anuradhapura,11/22/2011,2.8
Anuradhapura,11/23/2011,4.6
Anuradhapura,11/24/2011,12.7
Anuradhapura,11/25/2011,20.0
Anuradhapura,11/26/2011,7.1
Anuradhapura,11/27/2011,10.6
Anuradhapura,11/28/2011,9.3
Anuradhapura,11/29/2011,6.0
Anuradhapura,11/30/2011,1.0
Anuradhapura,12/1/2011,1.1
Anuradhapura,12/2/2011,0.0
Anuradhapura,12/3/2011,0.0
Anuradhapura,12/4/2011,0.0
Anuradhapura,12/5/2011,0.0
Anuradhapura,12/6/2011,0.1
Anuradhapura,12/7/2011,0.0
Anuradhapura,12/8/2011,1.2
Anuradhapura,12/9/2011,1.2
Anuradhapura,12/10/2011,5.0
Anuradhapura,12/11/2011,5.0
Anuradhapura,12/12/2011,11.2
Anuradhapura,12/13/2011,3.8
Anuradhapura,12/14/2011,1.9
Anuradhapura,12/15/2011,0.2
Anuradhapura,12/16/2011,0.2
Anuradhapura,12/17/2011,2.2
Anuradhapura,12/18/2011,20.4
Anuradhapura,12/19/2011,12.1
Anuradhapura,12/20/2011,18.7
Anuradhapura,12/21/2011,11.3
Anuradhapura,12/22/2011,1.1
Anuradhapura,12/23/2011,15.0
Anuradhapura,12/24/2011,0.0
Anuradhapura,12/25/2011,0.0
Anuradhapura,12/26/2011,0.0
Anuradhapura,12/27/2011,0.0
Anuradhapura,12/28/2011,0.0
Anuradhapura,12/29/2011,5.9
Anuradhapura,12/30/2011,2.2
Anuradhapura,12/31/2011,6.6
Anuradhapura,1/1/2012,0.0
